"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"ZAM00067663","KABWE MILLIKEN, ZA","-14.45","28.467","1207.0","2025-02-18","76","82","66"
"ZAM00067663","KABWE MILLIKEN, ZA","-14.45","28.467","1207.0","2025-02-20","73","83","68"
"ZA000067633","MONGU, ZA","-15.25","23.15","1053.0","2025-04-02","78","93","69"
"ZA000067743","LIVINGSTONE, ZA","-17.817","25.817","986.0","2025-06-24","69","80","45"
"ZA000067667","MOUNT MAKULU, ZA","-15.55","28.25","1213.0","2026-04-13",,,
